date,ridership,transport_type,year
2020-03-01,2212965.0,subway,2020
2020-03-02,5329915.0,subway,2020
2020-03-03,5481103.0,subway,2020
2020-03-04,5498809.0,subway,2020
2020-03-05,5496453.0,subway,2020
2020-03-06,5189447.0,subway,2020
2020-03-07,2814637.0,subway,2020
2020-03-08,2120656.0,subway,2020
2020-03-09,4973513.0,subway,2020
2020-03-10,4867818.0,subway,2020
2020-03-11,4697122.0,subway,2020
2020-03-12,4149505.0,subway,2020
2020-03-13,3484996.0,subway,2020
2020-03-14,1670665.0,subway,2020
2020-03-15,1157711.0,subway,2020
2020-03-16,2178555.0,subway,2020
2020-03-17,1788786.0,subway,2020
2020-03-18,1625280.0,subway,2020
2020-03-19,1422112.0,subway,2020
2020-03-20,1309125.0,subway,2020
2020-03-21,619618.0,subway,2020
2020-03-22,408723.0,subway,2020
2020-03-23,709499.0,subway,2020
2020-03-24,741587.0,subway,2020
2020-03-25,690032.0,subway,2020
2020-03-26,680360.0,subway,2020
2020-03-27,656817.0,subway,2020
2020-03-28,332393.0,subway,2020
2020-03-29,263700.0,subway,2020
2020-03-30,545215.0,subway,2020
2020-03-31,508106.0,subway,2020
2020-04-01,513481.0,subway,2020
2020-04-02,485586.0,subway,2020
2020-04-03,483357.0,subway,2020
2020-04-04,282278.0,subway,2020
2020-04-05,227303.0,subway,2020
2020-04-06,445454.0,subway,2020
2020-04-07,434986.0,subway,2020
2020-04-08,427485.0,subway,2020
2020-04-09,404635.0,subway,2020
2020-04-10,400275.0,subway,2020
2020-04-11,257061.0,subway,2020
2020-04-12,198399.0,subway,2020
2020-04-13,363312.0,subway,2020
2020-04-14,430155.0,subway,2020
2020-04-15,419059.0,subway,2020
2020-04-16,420223.0,subway,2020
2020-04-17,432368.0,subway,2020
2020-04-18,254453.0,subway,2020
2020-04-19,224411.0,subway,2020
2020-04-20,437852.0,subway,2020
2020-04-21,422107.0,subway,2020
2020-04-22,458781.0,subway,2020
2020-04-23,453520.0,subway,2020
2020-04-24,443956.0,subway,2020
2020-04-25,295387.0,subway,2020
2020-04-26,218787.0,subway,2020
2020-04-27,462888.0,subway,2020
2020-04-28,489247.0,subway,2020
2020-04-29,477799.0,subway,2020
2020-04-30,465869.0,subway,2020
2020-05-01,494549.0,subway,2020
2020-05-02,325865.0,subway,2020
2020-05-03,258865.0,subway,2020
2020-05-04,511866.0,subway,2020
2020-05-05,522085.0,subway,2020
2020-05-06,508824.0,subway,2020
2020-05-07,535073.0,subway,2020
2020-05-08,526054.0,subway,2020
2020-05-09,316883.0,subway,2020
2020-05-10,271947.0,subway,2020
2020-05-11,520873.0,subway,2020
2020-05-12,553372.0,subway,2020
2020-05-13,565377.0,subway,2020
2020-05-14,567392.0,subway,2020
2020-05-15,587808.0,subway,2020
2020-05-16,360844.0,subway,2020
2020-05-17,287418.0,subway,2020
2020-05-18,595469.0,subway,2020
2020-05-19,610884.0,subway,2020
2020-05-20,623749.0,subway,2020
2020-05-21,629298.0,subway,2020
2020-05-22,633883.0,subway,2020
2020-05-23,335830.0,subway,2020
2020-05-24,320015.0,subway,2020
2020-05-25,393918.0,subway,2020
2020-05-26,656766.0,subway,2020
2020-05-27,674465.0,subway,2020
2020-05-28,658057.0,subway,2020
2020-05-29,657259.0,subway,2020
2020-05-30,426737.0,subway,2020
2020-05-31,344426.0,subway,2020
2020-06-01,687162.0,subway,2020
2020-06-02,693760.0,subway,2020
2020-06-03,681714.0,subway,2020
2020-06-04,726672.0,subway,2020
2020-06-05,703576.0,subway,2020
2020-06-06,464198.0,subway,2020
2020-06-07,377990.0,subway,2020
2020-06-08,804542.0,subway,2020
2020-06-09,842306.0,subway,2020
2020-06-10,857015.0,subway,2020
2020-06-11,818297.0,subway,2020
2020-06-12,896658.0,subway,2020
2020-06-13,545316.0,subway,2020
2020-06-14,430439.0,subway,2020
2020-06-15,897112.0,subway,2020
2020-06-16,932671.0,subway,2020
2020-06-17,948461.0,subway,2020
2020-06-18,942382.0,subway,2020
2020-06-19,986929.0,subway,2020
2020-06-20,576075.0,subway,2020
2020-06-21,449497.0,subway,2020
2020-06-22,1000046.0,subway,2020
2020-06-23,1050786.0,subway,2020
2020-06-24,1068333.0,subway,2020
2020-06-25,1078796.0,subway,2020
2020-06-26,1102382.0,subway,2020
2020-06-27,615398.0,subway,2020
2020-06-28,535898.0,subway,2020
2020-06-29,1100769.0,subway,2020
2020-06-30,1113124.0,subway,2020
2020-07-01,1120537.0,subway,2020
2020-07-02,1170483.0,subway,2020
2020-07-03,851877.0,subway,2020
2020-07-04,591605.0,subway,2020
2020-07-05,533692.0,subway,2020
2020-07-06,1084956.0,subway,2020
2020-07-07,1157185.0,subway,2020
2020-07-08,1172279.0,subway,2020
2020-07-09,1211280.0,subway,2020
2020-07-10,1030632.0,subway,2020
2020-07-11,692977.0,subway,2020
2020-07-12,628187.0,subway,2020
2020-07-13,1175700.0,subway,2020
2020-07-14,1241080.0,subway,2020
2020-07-15,1248413.0,subway,2020
2020-07-16,1249128.0,subway,2020
2020-07-17,1207265.0,subway,2020
2020-07-18,778936.0,subway,2020
2020-07-19,584994.0,subway,2020
2020-07-20,1156735.0,subway,2020
2020-07-21,1241819.0,subway,2020
2020-07-22,1233668.0,subway,2020
2020-07-23,1233795.0,subway,2020
2020-07-24,1218138.0,subway,2020
2020-07-25,816604.0,subway,2020
2020-07-26,606910.0,subway,2020
2020-07-27,1203503.0,subway,2020
2020-07-28,1241770.0,subway,2020
2020-07-29,1296102.0,subway,2020
2020-07-30,1270172.0,subway,2020
2020-07-31,1258539.0,subway,2020
2020-08-01,842468.0,subway,2020
2020-08-02,590060.0,subway,2020
2020-08-03,1272996.0,subway,2020
2020-08-04,1027187.0,subway,2020
2020-08-05,1348202.0,subway,2020
2020-08-06,1334694.0,subway,2020
2020-08-07,1283894.0,subway,2020
2020-08-08,833287.0,subway,2020
2020-08-09,662993.0,subway,2020
2020-08-10,1275268.0,subway,2020
2020-08-11,1319814.0,subway,2020
2020-08-12,1298963.0,subway,2020
2020-08-13,1291277.0,subway,2020
2020-08-14,1355786.0,subway,2020
2020-08-15,860789.0,subway,2020
2020-08-16,554451.0,subway,2020
2020-08-17,1304485.0,subway,2020
2020-08-18,1369617.0,subway,2020
2020-08-19,1292148.0,subway,2020
2020-08-20,1410489.0,subway,2020
2020-08-21,1387463.0,subway,2020
2020-08-22,882522.0,subway,2020
2020-08-23,671560.0,subway,2020
2020-08-24,1307345.0,subway,2020
2020-08-25,1346490.0,subway,2020
2020-08-26,1407639.0,subway,2020
2020-08-27,1358272.0,subway,2020
2020-08-28,1388583.0,subway,2020
2020-08-29,773667.0,subway,2020
2020-08-30,748061.0,subway,2020
2020-08-31,1397264.0,subway,2020
2020-09-01,1469274.0,subway,2020
2020-09-02,1487969.0,subway,2020
2020-09-03,1529185.0,subway,2020
2020-09-04,1568385.0,subway,2020
2020-09-05,1013725.0,subway,2020
2020-09-06,819409.0,subway,2020
2020-09-07,870964.0,subway,2020
2020-09-08,1555816.0,subway,2020
2020-09-09,1610076.0,subway,2020
2020-09-10,1543662.0,subway,2020
2020-09-11,1690334.0,subway,2020
2020-09-12,1083698.0,subway,2020
2020-09-13,796740.0,subway,2020
2020-09-14,1604381.0,subway,2020
2020-09-15,1678078.0,subway,2020
2020-09-16,1686909.0,subway,2020
2020-09-17,1692368.0,subway,2020
2020-09-18,1725443.0,subway,2020
2020-09-19,1136947.0,subway,2020
2020-09-20,827605.0,subway,2020
2020-09-21,1624139.0,subway,2020
2020-09-22,1698504.0,subway,2020
2020-09-23,1735333.0,subway,2020
2020-09-24,1722364.0,subway,2020
2020-09-25,1761591.0,subway,2020
2020-09-26,1120143.0,subway,2020
2020-09-27,846179.0,subway,2020
2020-09-28,1489240.0,subway,2020
2020-09-29,1661264.0,subway,2020
2020-09-30,1740820.0,subway,2020
2020-10-01,1809958.0,subway,2020
2020-10-02,1790612.0,subway,2020
