date,transport_type,ridership,year
2020-01-01,bus,699915,2020
2020-01-02,bus,1726861,2020
2020-01-03,bus,1804030,2020
2020-01-04,bus,1086833,2020
2020-01-05,bus,16449,2020
2021-01-01,bus,340849,2021
2021-01-02,bus,541396,2021
2021-01-03,bus,369455,2021
2021-01-04,bus,871591,2021
2021-01-05,bus,6638,2021
2022-01-01,bus,318604,2022
2022-01-02,bus,432716,2022
2022-01-03,bus,931938,2022
2022-01-04,bus,1008877,2022
2022-01-05,bus,6571,2022
2023-01-01,bus,436584,2023
2023-01-02,bus,691281,2023
2023-01-03,bus,1187354,2023
2023-01-04,bus,1301440,2023
2023-01-05,bus,8607,2023
2024-01-01,bus,426220,2024
2024-01-02,bus,1021030,2024
2024-01-03,bus,1134483,2024
2024-01-04,bus,1162690,2024
2024-01-05,bus,7646,2024
