date,transport_type,ridership,year
2020-01-01,ferry,41934.0,2020
2020-01-02,ferry,57377.0,2020
2020-01-03,ferry,63848.0,2020
2020-01-04,ferry,33579.0,2020
2020-01-05,ferry,31977.0,2020
2020-01-06,ferry,61744.0,2020
2020-01-07,ferry,64131.0,2020
2020-01-08,ferry,66382.0,2020
2020-01-09,ferry,65953.0,2020
2020-01-10,ferry,64776.0,2020
2020-01-11,ferry,37166.0,2020
2020-01-12,ferry,30216.0,2020
2020-01-13,ferry,57130.0,2020
2020-01-14,ferry,62021.0,2020
2020-01-15,ferry,61806.0,2020
2020-01-16,ferry,66515.0,2020
2020-01-17,ferry,63757.0,2020
2020-01-18,ferry,40003.0,2020
2020-01-19,ferry,28494.0,2020
2020-01-20,ferry,34555.0,2020
2020-01-21,ferry,60133.0,2020
2020-01-22,ferry,66391.0,2020
2020-01-23,ferry,63456.0,2020
2020-01-24,ferry,67077.0,2020
2020-01-25,ferry,35551.0,2020
2020-01-26,ferry,29386.0,2020
2020-01-27,ferry,66785.0,2020
2020-01-28,ferry,65048.0,2020
2020-01-29,ferry,65815.0,2020
2020-01-30,ferry,64985.0,2020
2020-01-31,ferry,58389.0,2020
2020-02-01,ferry,34083.0,2020
2020-02-02,ferry,27936.0,2020
2020-02-03,ferry,61431.0,2020
2020-02-04,ferry,58765.0,2020
2020-02-05,ferry,58119.0,2020
2020-02-06,ferry,55368.0,2020
2020-02-07,ferry,55601.0,2020
2020-02-08,ferry,38859.0,2020
2020-02-09,ferry,30445.0,2020
2020-02-10,ferry,54805.0,2020
2020-02-11,ferry,56566.0,2020
2020-02-12,ferry,59688.0,2020
2020-02-13,ferry,58074.0,2020
2020-02-14,ferry,61169.0,2020
2020-02-15,ferry,37628.0,2020
2020-02-16,ferry,37819.0,2020
2020-02-17,ferry,47480.0,2020
2020-02-18,ferry,59232.0,2020
2020-02-19,ferry,66168.0,2020
2020-02-20,ferry,61193.0,2020
2020-02-21,ferry,59429.0,2020
2020-02-24,ferry,62400.0,2020
2020-02-25,ferry,58274.0,2020
2020-02-26,ferry,57749.0,2020
2020-02-27,ferry,60046.0,2020
2020-02-28,ferry,61120.0,2020
2020-02-29,ferry,35714.0,2020
2020-03-01,ferry,30890.0,2020
2020-03-02,ferry,61745.0,2020
2020-03-03,ferry,58234.0,2020
2020-03-04,ferry,60354.0,2020
2020-03-05,ferry,60828.0,2020
2020-03-06,ferry,54455.0,2020
2020-03-07,ferry,37646.0,2020
2020-03-08,ferry,31816.0,2020
2020-03-09,ferry,60991.0,2020
2020-03-10,ferry,54538.0,2020
2020-03-11,ferry,53673.0,2020
2020-03-12,ferry,47526.0,2020
2020-03-13,ferry,42504.0,2020
2020-03-14,ferry,24379.0,2020
2020-03-15,ferry,18091.0,2020
2020-03-16,ferry,28973.0,2020
2020-03-17,ferry,24177.0,2020
2020-03-18,ferry,22645.0,2020
2020-03-19,ferry,19392.0,2020
2020-03-20,ferry,18143.0,2020
2020-03-21,ferry,9559.0,2020
2020-03-22,ferry,6705.0,2020
2020-03-23,ferry,11170.0,2020
2020-03-24,ferry,11781.0,2020
2020-03-25,ferry,10897.0,2020
2020-03-26,ferry,10918.0,2020
2020-03-27,ferry,10664.0,2020
2020-03-28,ferry,5869.0,2020
2020-03-29,ferry,4983.0,2020
2020-03-30,ferry,8841.0,2020
2020-03-31,ferry,8092.0,2020
2020-04-01,ferry,8440.0,2020
2020-04-02,ferry,8041.0,2020
2020-04-03,ferry,7802.0,2020
2020-04-04,ferry,4862.0,2020
2020-04-05,ferry,4293.0,2020
2020-04-06,ferry,7350.0,2020
