date,transport_type,ridership,year
2020-01-01,subway,2286080.0,2020
2020-01-02,subway,5002753.0,2020
2020-01-03,subway,4996663.0,2020
2020-01-04,subway,2801720.0,2020
2020-01-05,subway,2268243.0,2020
2020-01-06,subway,5251639.0,2020
2020-01-07,subway,5430194.0,2020
2020-01-08,subway,5454549.0,2020
2020-01-09,subway,51654.0,2020
2021-01-01,subway,622093.0,2021
2021-01-02,subway,992334.0,2021
2021-01-03,subway,657411.0,2021
2021-01-04,subway,1571728.0,2021
2021-01-05,subway,1613242.0,2021
2021-01-06,subway,1629187.0,2021
2021-01-07,subway,1625794.0,2021
2021-01-08,subway,1631685.0,2021
2021-01-09,subway,745103.0,2021
2022-01-01,subway,1030258.0,2022
2022-01-02,subway,1221095.0,2022
2022-01-03,subway,2177572.0,2022
2022-01-04,subway,2300574.0,2022
2022-01-05,subway,2279200.0,2022
2022-01-06,subway,2403527.0,2022
2022-01-07,subway,2135181.0,2022
2022-01-08,subway,808658.0,2022
2023-01-01,subway,1681439.0,2023
2023-01-02,subway,1959873.0,2023
2023-01-03,subway,3208038.0,2023
2023-01-04,subway,3447170.0,2023
2023-01-05,subway,3461062.0,2023
2023-01-06,subway,3259608.0,2023
2023-01-07,subway,2123903.0,2023
2023-01-08,subway,113414.0,2023
2024-01-01,subway,1672730.0,2024
2024-01-02,subway,3333499.0,2024
2024-01-03,subway,3601083.0,2024
2024-01-04,subway,3607678.0,2024
2024-01-05,subway,3305043.0,2024
2024-01-06,subway,1962008.0,2024
2024-01-07,subway,1489799.0,2024
2024-01-08,subway,130345.0,2024
